country_code,country_name,year,median_ppp_income
RU,Russia,2003,36391.42080691642
RU,Russia,2004,40067.35619596541
RU,Russia,2005,44074.47942363112
RU,Russia,2006,45656.718818443806
RU,Russia,2007,49726.91363112392
RU,Russia,2008,50601.876829971174
RU,Russia,2009,47793.594351585
RU,Russia,2010,55935.61193083574
RU,Russia,2011,53203.161095100855
RU,Russia,2012,57575.10103746397
RU,Russia,2013,56570.04106628242
RU,Russia,2014,57752.74956772334
RU,Russia,2015,56201.86766570606
RU,Russia,2016,53600.79270893372
RU,Russia,2017,56108.82622478386
RU,Russia,2018,57783.24657060519
RU,Russia,2019,57777.97510086455
RU,Russia,2020,51546.2916426513
RU,Russia,2021,54893.10902017291
RU,Russia,2022,53948.298847262246
RU,Russia,2023,55913.254697406344
SA,Saudi Arabia,1995,78491.40984042553
SA,Saudi Arabia,1996,76819.24574468085
SA,Saudi Arabia,1997,74285.85239361702
SA,Saudi Arabia,1998,71516.01090425532
SA,Saudi Arabia,1999,66170.49441489362
SA,Saudi Arabia,2000,66254.19920212767
SA,Saudi Arabia,2001,61127.53138297874
SA,Saudi Arabia,2002,56498.4420212766
SA,Saudi Arabia,2003,58838.598936170216
SA,Saudi Arabia,2004,60991.31436170213
SA,Saudi Arabia,2005,61072.87287234043
SA,Saudi Arabia,2006,59323.08510638298
SA,Saudi Arabia,2007,56484.205053191494
SA,Saudi Arabia,2008,56408.87074468086
SA,Saudi Arabia,2009,51298.15691489362
SA,Saudi Arabia,2010,50711.50797872341
SA,Saudi Arabia,2011,53605.26117021277
SA,Saudi Arabia,2012,53302.27845744681
SA,Saudi Arabia,2013,51480.80505319149
SA,Saudi Arabia,2014,50880.41994680851
SA,Saudi Arabia,2015,48979.17659574469
SA,Saudi Arabia,2016,48969.16063829788
SA,Saudi Arabia,2017,48990.90957446808
SA,Saudi Arabia,2018,51993.40744680852
SA,Saudi Arabia,2019,51510.49521276596
SA,Saudi Arabia,2020,47644.9795212766
SA,Saudi Arabia,2021,49284.80638297873
SA,Saudi Arabia,2022,51853.32712765958
SA,Saudi Arabia,2023,49286.66648936171
TR,Turkey,1995,10774.11633027523
TR,Turkey,1996,11276.67743119266
TR,Turkey,1997,11377.206926605504
TR,Turkey,1998,10746.056422018348
TR,Turkey,1999,9984.03371559633
TR,Turkey,2000,10497.564587155965
TR,Turkey,2001,9253.6
TR,Turkey,2002,9909.725550458716
TR,Turkey,2003,10605.42371559633
TR,Turkey,2004,12030.27229357798
TR,Turkey,2005,13954.584770642201
TR,Turkey,2006,14833.425045871558
TR,Turkey,2007,15580.504678899082
TR,Turkey,2008,15093.935504587156
TR,Turkey,2009,13123.547522935778
TR,Turkey,2010,14600.57963302752
TR,Turkey,2011,15766.262752293578
TR,Turkey,2012,16186.248256880732
TR,Turkey,2013,17673.7195412844
TR,Turkey,2014,17784.034220183483
TR,Turkey,2015,17917.49770642202
TR,Turkey,2016,17789.007018348624
TR,Turkey,2017,18250.625825688072
TR,Turkey,2018,18158.055275229355
TR,Turkey,2019,18797.9297706422
TR,Turkey,2020,18297.799541284403
TR,Turkey,2021,20942.90862385321
TR,Turkey,2022,20886.677752293577
TR,Turkey,2023,20342.45866972477
US,United States,1995,57112.466
US,United States,1996,57374.0685
US,United States,1997,58766.9505
US,United States,1998,60399.7805
US,United States,1999,62116.403999999995
US,United States,2000,63218.766
US,United States,2001,63815.542499999996
US,United States,2002,64212.8555
US,United States,2003,64802.7725
US,United States,2004,65517.5055
US,United States,2005,64996.9905
US,United States,2006,64705.1255
US,United States,2007,65638.15200000002
US,United States,2008,65142.51950000002
US,United States,2009,63195.4975
US,United States,2010,62405.31
US,United States,2011,62338.463500000005
US,United States,2012,61157.5535
US,United States,2013,61675.10950000001
US,United States,2014,61031.258
US,United States,2015,62315.46399999999
US,United States,2016,62975.59
US,United States,2017,65043.2585
US,United States,2018,65690.338
US,United States,2019,66740.245
US,United States,2020,64101.086
US,United States,2021,65662.63100000001
US,United States,2022,65446.7585
US,United States,2023,66512.8055
ZA,South Africa,1995,16166.847868217052
ZA,South Africa,1996,16419.400290697675
ZA,South Africa,1997,16266.810562015502
ZA,South Africa,1998,15545.93226744186
ZA,South Africa,1999,15090.769670542633
ZA,South Africa,2000,15074.687015503876
ZA,South Africa,2001,14698.790794573642
ZA,South Africa,2002,14676.165600775197
ZA,South Africa,2003,14303.501550387597
ZA,South Africa,2004,14712.240794573641
ZA,South Africa,2005,14483.356201550387
ZA,South Africa,2006,14136.73197674419
ZA,South Africa,2007,13168.983624031007
ZA,South Africa,2008,14005.829069767442
ZA,South Africa,2009,13797.171608527131
ZA,South Africa,2010,12942.132170542638
ZA,South Africa,2011,12572.30930232558
ZA,South Africa,2012,10949.94215116279
ZA,South Africa,2013,10860.95319767442
ZA,South Africa,2014,10715.349127906975
ZA,South Africa,2015,10603.891375968995
ZA,South Africa,2016,10425.548546511627
ZA,South Africa,2017,10407.980135658914
ZA,South Africa,2018,10288.181298449614
ZA,South Africa,2019,10114.243604651161
ZA,South Africa,2020,9326.793023255814
ZA,South Africa,2021,9723.568023255813
ZA,South Africa,2022,9719.215019379844
ZA,South Africa,2023,9616.82819767442
